R^2=,0.994779,Chi^2=,0.118529,,,,,,,,,
Plate,Sample,Well Type,Known Conc. (ug/ml),Binding Rate,Calc. Conc. (ug/ml),Residual(%),R Square,,,,Sample Date,Project ID
160614,1,Unknown,,0.1414061,916.96,,1.0984138,,,,6/10/2016,JY-29-198|002|1
160614,1,Unknown,,0.1348853,880.99,,1.098295,,,,6/10/2016,JY-29-198|002|2
160614,1,Unknown,,0.1412257,915.97,,1.0985095,,,,6/10/2016,JY-29-198|002|3
160614,1,Unknown,,0.1376738,896.39,,1.0983016,,,,6/10/2016,JY-29-198|002|4
160614,1,Unknown,,0.1354903,884.4,,1.0980442,,,,6/10/2016,JY-29-198|002|5
160614,1,Unknown,,0.1407923,913.55,,1.0983137,,,,6/10/2016,JY-29-198|002|6
160614,1,Unknown,,0.1234926,818.29,,1.0977219,,,,6/10/2016,JY-29-198|002|7
160614,2,Unknown,,0.1438734,930.49,,1.0982994,,,,6/10/2016,JY-29-198|002|8
160614,2,Unknown,,0.1423961,922.35,,1.0983148,,,,6/10/2016,JY-29-198|002|9
160614,2,Unknown,,0.1384922,900.9,,1.0984941,,,,6/10/2016,JY-29-198|002|10
160614,2,Unknown,,0.1363516,889.13,,1.0985579,,,,6/10/2016,JY-29-198|002|11
160614,2,Unknown,,0.141834,919.27,,1.098207,,,,6/10/2016,JY-29-198|002|12
160614,2,Unknown,,0.1417823,919.05,,1.0982279,,,,6/10/2016,JY-29-198|002|13
160614,2,Unknown,,0.1428306,924.77,,1.0980805,,,,6/10/2016,JY-29-198|002|14
160614,3,Unknown,,0.1357213,885.61,,1.0982213,,,,6/10/2016,JY-29-198|002|15
160614,3,Unknown,,0.145904,941.71,,1.098548,,,,6/10/2016,JY-29-198|002|16
160614,3,Unknown,,0.1437876,930.05,,1.0983313,,,,6/10/2016,JY-29-198|002|17
160614,3,Unknown,,0.1413049,916.41,,1.0983236,,,,6/10/2016,JY-29-198|002|18
160614,3,Unknown,,0.1381105,898.81,,1.0979727,,,,6/10/2016,JY-29-198|002|19
160614,3,Unknown,,0.1412818,916.3,,1.0985524,,,,6/10/2016,JY-29-198|002|20
160614,3,Unknown,,0.20944,1325.5,,1.0985722,,,,6/10/2016,JY-29-198|002|21
160614,4,Unknown,,0.2122274,1343.54,,1.098031,,,,6/10/2016,JY-29-198|002|22
160614,4,Unknown,,0.1427514,924.33,,1.0979639,,,,6/10/2016,JY-29-198|002|23
160614,4,Unknown,,0.1449052,936.21,,1.0981564,,,,6/10/2016,JY-29-198|002|24
160614,4,Unknown,,0.1417955,919.05,,1.0981025,,,,6/10/2016,JY-29-198|002|25
160614,4,Unknown,,0.1323278,866.91,,1.0978066,,,,6/10/2016,JY-29-198|002|26
160614,4,Unknown,,0.1293072,850.3,,1.0980585,,,,6/10/2016,JY-29-198|002|27
160614,4,Unknown,,0.1250623,826.98,,1.0974568,,,,6/10/2016,JY-29-198|002|28
160614,5,Unknown,,0.229097,1452.88,,1.0986305,,,,6/10/2016,JY-29-198|002|29
160614,5,Unknown,,0.2190364,1387.65,,1.0987251,,,,6/10/2016,JY-29-198|002|30
