R^2=,0.994779,Chi^2=,0.118529,,,,,,,,,
Plate,Sample,Well Type,Known Conc. (ug/ml),Binding Rate,Calc. Conc. (ug/ml),Residual(%),R Square,,,,Sample Date,Project ID
160912,1,Unknown,,0.149996,2410.54,,1.0986184,,,,9/7/2016,JY-29-198|004|1
160912,1,Unknown,,0.1504965,2417.47,,1.0990133,,,,9/7/2016,JY-29-198|004|2
160912,1,Unknown,,0.1607529,2558.6,,1.0988615,,,,9/7/2016,JY-29-198|004|3
160912,1,Unknown,,0.1543718,2470.82,,1.0986019,,,,9/7/2016,JY-29-198|004|4
160912,1,Unknown,,0.1550549,2480.17,,1.098702,,,,9/7/2016,JY-29-198|004|5
160912,1,Unknown,,0.1559767,2492.82,,1.0988428,,,,9/7/2016,JY-29-198|004|6
160912,1,Unknown,,0.1548965,2477.97,,1.0988725,,,,9/7/2016,JY-29-198|004|7
160912,1,Unknown,,0.1546864,2475.11,,1.0986943,,,,9/7/2016,JY-29-198|004|8
160912,2,Unknown,,0.1595858,2542.54,,1.0986349,,,,9/7/2016,JY-29-198|004|9
160912,2,Unknown,,0.1779404,2803.13,,1.0992157,,,,9/7/2016,JY-29-198|004|10
160912,2,Unknown,,0.1652453,2620.42,,1.0985755,,,,9/7/2016,JY-29-198|004|11
160912,2,Unknown,,0.1560097,2493.37,,1.0987856,,,,9/7/2016,JY-29-198|004|12
160912,2,Unknown,,0.1576707,2516.14,,1.09857,,,,9/7/2016,JY-29-198|004|13
160912,2,Unknown,,0.1701403,2687.85,,1.0973787,,,,9/7/2016,JY-29-198|004|14
160912,2,Unknown,,0.1627571,2586.21,,1.0990342,,,,9/7/2016,JY-29-198|004|15
160912,2,Unknown,,0.1605527,2555.85,,1.0986866,,,,9/7/2016,JY-29-198|004|16
160912,3,Unknown,,0.1690942,2673.44,,1.0987614,,,,9/9/2016,JY-29-198|004|1
160912,3,Unknown,,0.191312,3019.94,,1.0989253,,,,9/9/2016,JY-29-198|004|2
160912,3,Unknown,,0.1797873,2833.16,,1.0989055,,,,9/9/2016,JY-29-198|004|3
160912,3,Unknown,,0.193864,3061.3,,1.0977725,,,,9/9/2016,JY-29-198|004|4
160912,3,Unknown,,0.1810369,2853.4,,1.0985018,,,,9/9/2016,JY-29-198|004|5
160912,3,Unknown,,0.1946032,3073.29,,1.0989528,,,,9/9/2016,JY-29-198|004|6
160912,3,Unknown,,0.1971024,3113.77,,1.0989968,,,,9/9/2016,JY-29-198|004|7
160912,3,Unknown,,0.1819257,2867.81,,1.0987163,,,,9/9/2016,JY-29-198|004|8
160912,4,Unknown,,0.174449,2747.14,,1.0984809,,,,9/9/2016,JY-29-198|004|9
160912,4,Unknown,,0.18865,2976.71,,1.0988758,,,,9/9/2016,JY-29-198|004|10
160912,4,Unknown,,0.2036826,3220.36,,1.0987867,,,,9/9/2016,JY-29-198|004|11
160912,4,Unknown,,0.2052501,3245.77,,1.0986415,,,,9/9/2016,JY-29-198|004|12
160912,4,Unknown,,0.1752113,2758.91,,1.0986503,,,,9/9/2016,JY-29-198|004|13
160912,4,Unknown,,0.2146617,3398.34,,1.0989297,,,,9/9/2016,JY-29-198|004|14
160912,4,Unknown,,0.1817772,2865.39,,1.0989286,,,,9/9/2016,JY-29-198|004|15
160912,4,Unknown,,0.1764092,2778.38,,1.098735,,,,9/9/2016,JY-29-198|004|16
160912,5,Unknown,,0.202807,3206.17,,1.0969145,,,,9/11/2016,JY-29-198|004|1
160912,5,Unknown,,0.20438,3231.69,,1.099329,,,,9/11/2016,JY-29-198|004|2
160912,5,Unknown,,0.230956,3662.45,,1.0990122,,,,9/11/2016,JY-29-198|004|3
160912,5,Unknown,,0.2258707,3579.95,,1.0987152,,,,9/11/2016,JY-29-198|004|4
160912,5,Unknown,,0.223102,3535.07,,1.0986877,,,,9/11/2016,JY-29-198|004|5
160912,5,Unknown,,0.2254593,3573.35,,1.0987141,,,,9/11/2016,JY-29-198|004|6
160912,5,Unknown,,0.2210461,3501.74,,1.0987922,,,,9/11/2016,JY-29-198|004|7
160912,5,Unknown,,0.1915397,3023.57,,1.0981366,,,,9/11/2016,JY-29-198|004|8
160912,6,Unknown,,0.1987062,3139.73,,1.0963942,,,,9/11/2016,JY-29-198|004|9
160912,6,Unknown,,0.2129809,3371.06,,1.0988901,,,,9/11/2016,JY-29-198|004|10
160912,6,Unknown,,0.2303202,3652.11,,1.0989187,,,,9/11/2016,JY-29-198|004|11
160912,6,Unknown,,0.2132746,3375.79,,1.098724,,,,9/11/2016,JY-29-198|004|12
160912,6,Unknown,,0.2136255,3381.51,,1.0988285,,,,9/11/2016,JY-29-198|004|13
160912,6,Unknown,,0.2155197,3412.2,,1.0984886,,,,9/11/2016,JY-29-198|004|14
160912,6,Unknown,,0.2156682,3414.62,,1.0988747,,,,9/11/2016,JY-29-198|004|15
160912,6,Unknown,,0.2006532,3171.3,,1.0983511,,,,9/11/2016,JY-29-198|004|16
