R^2=,0.994779,Chi^2 =,0.237058,Analyte=,,,,,,,,
Plate,Sample,Type,Known Conc. (ug/ml),Binding Rate,Calc. Conc. (ug/ml),Residual(%),R Square,Plate Number,Sample Location,Sample ID,Sample Date,Project ID
170515,A1,Unknown,,0.039264639,332.0526205,,1.09798896,1,A1,N/A,5/3/2017,JY-29-198|006|25
170515,B1,Unknown,,0.046066686,373.8222258,,1.0981317,1,B1,N/A,5/3/2017,JY-29-198|006|26
170515,C1,Unknown,,0.040428652,339.2005241,,1.098162302,1,C1,N/A,5/3/2017,JY-29-198|006|27
170515,D1,Unknown,,0.041291944,344.5017818,,1.098401634,1,D1,N/A,5/3/2017,JY-29-198|006|28
170515,E1,Unknown,,0.104074182,711.4043746,,1.098873172,1,E1,N/A,5/5/2017,JY-29-198|006|1
170515,F1,Unknown,,0.11309025,761.0413546,,1.098293706,1,F1,N/A,5/5/2017,JY-29-198|006|2
170515,G1,Unknown,,0.101259715,695.9096276,,1.098599813,1,G1,N/A,5/5/2017,JY-29-198|006|3
170515,H1,Unknown,,0.098911089,682.9795224,,1.098705539,1,H1,N/A,5/5/2017,JY-29-198|006|4
170515,A2,Unknown,,0.101511093,697.293564,,1.098278554,1,A2,N/A,5/5/2017,JY-29-198|006|5
170515,B2,Unknown,,0.112928762,760.1523039,,1.098270103,1,B2,N/A,5/5/2017,JY-29-198|006|6
170515,C2,Unknown,,0.107496079,730.2432503,,1.098410269,1,C2,N/A,5/5/2017,JY-29-198|006|7
170515,D2,Unknown,,0.10477768,715.2773978,,1.098703726,1,D2,N/A,5/5/2017,JY-29-198|006|8
170515,E2,Unknown,,0.111467378,752.1068121,,1.096382175,1,E2,N/A,5/5/2017,JY-29-198|006|9
170515,F2,Unknown,,0.110501444,746.7889656,,1.098507529,1,F2,N/A,5/5/2017,JY-29-198|006|10
170515,G2,Unknown,,0.098566083,681.0801264,,1.098199387,1,G2,N/A,5/5/2017,JY-29-198|006|11
170515,H2,Unknown,,0.102541086,702.9640739,,1.098300545,1,H2,N/A,5/5/2017,JY-29-198|006|12
170515,A3,Unknown,,0.104925827,716.0930093,,1.096008469,1,A3,N/A,5/5/2017,JY-29-198|006|13
170515,B3,Unknown,,0.121552289,807.6281953,,1.098864977,1,B3,N/A,5/5/2017,JY-29-198|006|14
170515,C3,Unknown,,0.103549163,708.5139344,,1.098724879,1,C3,N/A,5/5/2017,JY-29-198|006|15
170515,D3,Unknown,,0.100553091,692.0193845,,1.098789295,1,D3,N/A,5/5/2017,JY-29-198|006|16
170515,E3,Unknown,,0.114554059,769.1002019,,1.098507386,1,E3,N/A,5/5/2017,JY-29-198|006|17
170515,F3,Unknown,,0.109963421,743.8269332,,1.090047952,1,F3,N/A,5/5/2017,JY-29-198|006|18
170515,G3,Unknown,,0.098670691,681.6560357,,1.09705637,1,G3,N/A,5/5/2017,JY-29-198|006|19
170515,H3,Unknown,,0.099153075,684.3117471,,1.095038951,1,H3,N/A,5/5/2017,JY-29-198|006|20
170515,A4,Unknown,,0.096346542,668.8606863,,1.098639775,1,A4,N/A,5/5/2017,JY-29-198|006|21
170515,B4,Unknown,,0.119032603,793.7563334,,1.098018623,1,B4,N/A,5/5/2017,JY-29-198|006|22
170515,C4,Unknown,,0.102755257,704.1431739,,1.098612636,1,C4,N/A,5/5/2017,JY-29-198|006|23
170515,D4,Unknown,,0.101431527,696.8555185,,1.097491093,1,D4,N/A,5/5/2017,JY-29-198|006|24
