Analyzer,Vessel #,Batch ID,Date and Time,Media Type,Temperature,pH @ 37 ,Na+ mmol/L,K+ mmol/L,Gluc g/L,Gln mmol/L,GLU mmol/L,Lac g/L,NH4+ mmol/L,Osm mOsm/kg
01 CRT24,,JY-29-198|002|17,6/15/2016 8:28,Batch,40.7,7.7297,111.1,1.76,5.511,0.297,0,1.826,3.179,332.64
01 CRT24,,JY-29-198|002|1,6/15/2016 8:28,Batch,40.7,7.6417,104.5,1.76,5.291,0.242,0.297,1.32,2.607,312.51
01 CRT24,,JY-29-198|002|3,6/15/2016 8:28,Batch,40.7,7.5845,106.7,1.76,5.335,0,0.242,1.837,2.453,322.3
01 CRT24,,JY-29-198|002|5,6/15/2016 8:28,Batch,40.7,7.5823,111.1,1.76,5.379,0,0,1.837,2.97,331.65
01 CRT24,,JY-29-198|002|7,6/15/2016 8:28,Batch,40.7,7.6087,113.3,1.76,5.335,0,0,1.826,3.135,335.72
01 CRT24,,JY-29-198|002|9,6/15/2016 8:28,Batch,40.7,7.6307,112.2,1.87,5.445,0.264,0,1.793,3.047,333.96
01 CRT24,,JY-29-198|002|11,6/15/2016 8:28,Batch,40.7,7.6758,108.9,1.65,5.159,0.242,0,1.837,2.761,325.82
01 CRT24,,JY-29-198|002|13,6/15/2016 8:28,Batch,40.7,7.7176,108.9,1.76,5.368,0.253,0,1.793,2.805,326.7
01 CRT24,,JY-29-198|002|15,6/15/2016 8:28,Batch,40.7,7.7176,107.8,1.76,5.577,0.385,0,1.804,2.75,325.93
01 CRT24,,JY-29-198|002|19,6/15/2016 8:56,Batch,40.7,7.5933,103.4,1.65,5.379,0.275,0.297,1.43,2.442,311.63
01 CRT24,,JY-29-198|002|21,6/15/2016 8:56,Batch,40.7,7.062,106.7,2.31,8.624,1.716,5.874,2.563,4.829,354.09
01 CRT24,,JY-29-198|002|23,6/15/2016 8:56,Batch,40.7,7.5691,104.5,1.54,5.896,0.275,0.451,1.914,2.332,321.53
01 CRT24,,JY-29-198|002|25,6/15/2016 8:56,Batch,40.7,7.4833,160.6,1.65,4.961,1.1,0.319,2.079,4.939,427.57
01 CRT24,,JY-29-198|002|27,6/15/2016 8:56,Batch,40.7,7.5647,116.6,1.32,5.533,0.693,3.652,2.31,1.749,344.96
01 CRT24,,JY-29-198|002|29,6/15/2016 8:56,Batch,40.7,7.6329,195.8,2.31,8.338,4.598,4.235,2.2,8.58,521.18
01 CRT24,,JY-29-198|002|31,6/15/2016 8:56,Batch,40.7,6.5615,112.2,3.63,9.273,0,0,3.025,5.5,376.75
