Analyzer,Vessel #,Batch ID,Date and Time,Media Type,Temperature,pH @ 37 ,Na+ mmol/L,K+ mmol/L,Gluc g/L,Gln mmol/L,GLU mmol/L,Lac g/L,NH4+ mmol/L,Osm mOsm/kg
01 CRT24,,JY-29-198|003|30,7/18/2016 10:29,Batch,40.7,7.7187,106.7,1.98,3.718,0,0.264,1.881,2.992,315.26
01 CRT24,,JY-29-198|003|2,7/18/2016 10:29,Batch,40.7,7.4701,104.5,2.09,3.608,0,0.231,1.661,2.981,308.22
01 CRT24,,JY-29-198|003|4,7/18/2016 10:29,Batch,40.7,7.4756,110,2.2,3.509,0,0.264,1.837,3.091,320.32
01 CRT24,,JY-29-198|003|6,7/18/2016 10:29,Batch,40.7,7.4822,104.5,2.09,3.487,0,0.253,1.837,2.684,308.99
01 CRT24,,JY-29-198|003|8,7/18/2016 10:29,Batch,40.7,7.5075,108.9,2.2,3.388,0,0.473,1.837,3.124,317.68
01 CRT24,,JY-29-198|003|10,7/18/2016 10:29,Batch,40.7,7.5196,105.6,2.09,3.498,0,0.275,1.881,2.75,311.74
01 CRT24,,JY-29-198|003|12,7/18/2016 10:29,Batch,40.7,7.6417,105.6,1.65,3.476,0,0.253,1.848,3.278,311.41
01 CRT24,,JY-29-198|003|14,7/18/2016 10:29,Batch,40.7,7.5493,105.6,2.09,3.3,0,0.264,1.892,3.234,311.63
01 CRT24,,JY-29-198|003|16,7/18/2016 10:29,Batch,40.7,7.5526,105.6,2.09,3.476,0,0.429,1.925,3.278,313.06
01 CRT24,,JY-29-198|003|18,7/18/2016 10:29,Batch,40.7,7.6043,105.6,2.2,3.322,0,0.33,1.87,3.355,311.96
01 CRT24,,JY-29-198|003|20,7/18/2016 10:29,Batch,40.7,7.5911,114.4,1.87,3.52,0,0,1.903,3.047,328.57
01 CRT24,,JY-29-198|003|22,7/18/2016 10:29,Batch,40.7,7.6021,124.3,1.98,3.498,0,0.352,1.936,3.388,348.04
01 CRT24,,JY-29-198|003|24,7/18/2016 10:29,Batch,40.7,7.6373,132,1.98,3.597,0,0.319,1.903,3.707,363.22
01 CRT24,,JY-29-198|003|26,7/18/2016 10:29,Batch,40.7,7.6626,139.7,1.98,3.762,0.363,0.242,1.925,3.993,379.17
01 CRT24,,JY-29-198|003|28,7/18/2016 10:29,Batch,40.7,7.6868,149.6,2.09,3.96,0.451,0.341,1.881,4.114,398.64
