Analyzer,Vessel #,Batch ID,Date and Time,Media Type,Temperature,pH @ 37 ,Na+ mmol/L,K+ mmol/L,Gluc g/L,Gln mmol/L,GLU mmol/L,Lac g/L,NH4+ mmol/L,Osm mOsm/kg
01 CRT24,,JY-29-198|006|16,5/10/2017 8:16,Batch,40.7,8.0146,122.1,1.32,3.223,1.859,0,2.035,2.299,340.34
01 CRT24,,JY-29-198|006|18,5/10/2017 8:16,Batch,40.7,7.9959,113.3,1.43,3.762,1.045,0.748,2.013,2.497,327.25
01 CRT24,,JY-29-198|006|20,5/10/2017 8:16,Batch,40.7,8.0146,113.3,1.32,3.146,1.243,0,2.024,2.519,323.84
01 CRT24,,JY-29-198|006|22,5/10/2017 8:16,Batch,40.7,7.9376,123.2,1.43,3.311,1.32,0,2.123,2.86,345.07
01 CRT24,,JY-29-198|006|24,5/10/2017 8:16,Batch,40.7,8.0102,121,1.32,3.388,1.221,0,2.134,2.651,340.89
01 CRT24,,JY-29-198|006|2,5/10/2017 8:16,Batch,40.7,7.7836,115.5,1.54,4.268,1.089,1.067,1.705,2.706,331.32
01 CRT24,,JY-29-198|006|4,5/10/2017 8:16,Batch,40.7,7.8683,114.4,1.54,3.74,1.342,0.297,1.936,2.662,328.9
01 CRT24,,JY-29-198|006|6,5/10/2017 8:16,Batch,40.7,7.7869,108.9,9.57,3.685,1.606,0.231,2.002,2.255,333.19
01 CRT24,,JY-29-198|006|8,5/10/2017 8:16,Batch,40.7,7.865,110,9.13,3.421,1.573,0.242,2.046,2.321,333.63
01 CRT24,,JY-29-198|006|10,5/10/2017 8:16,Batch,40.7,8.0311,110,1.43,3.322,1.826,0.913,1.804,2.112,315.7
01 CRT24,,JY-29-198|006|12,5/10/2017 8:16,Batch,40.7,8.0036,112.2,1.21,3.509,1.529,0.935,1.969,2.112,322.19
01 CRT24,,JY-29-198|006|14,5/10/2017 8:16,Batch,40.7,7.8573,118.8,1.32,3.828,1.43,1.309,2.09,2.684,338.91
