Analyzer,Vessel #,Batch ID,Date and Time,Media Type,Temperature,pH @ 37 ,Na+ mmol/L,K+ mmol/L,Gluc g/L,Gln mmol/L,GLU mmol/L,Lac g/L,NH4+ mmol/L,Osm mOsm/kg
01 CRT24,,JY-29-198|006|2,5/5/2017 7:44,Batch,40.7,7.7484,108.9,2.86,4.18,0.396,6.347,0.528,5.863,313.83
01 CRT24,,JY-29-198|006|4,5/5/2017 7:44,Batch,40.7,7.8837,108.9,2.64,4.257,0.451,5.896,1.364,5.907,323.18
01 CRT24,,JY-29-198|006|6,5/5/2017 7:44,Batch,40.7,7.7803,105.6,7.04,4.323,0.44,6.237,1.331,5.357,324.28
01 CRT24,,JY-29-198|006|8,5/5/2017 7:44,Batch,40.7,7.8639,106.7,6.49,4.048,0.374,5.896,1.397,5.159,324.06
01 CRT24,,JY-29-198|006|10,5/5/2017 7:44,Batch,40.7,7.953,105.6,2.75,4.4,0.308,6.204,1.265,5.797,316.8
01 CRT24,,JY-29-198|006|12,5/5/2017 7:44,Batch,40.7,7.9442,108.9,2.53,3.938,0.33,5.885,1.419,5.445,320.98
01 CRT24,,JY-29-198|006|14,5/5/2017 7:44,Batch,40.7,7.876,111.1,2.75,4.235,0.451,6.16,1.386,5.797,327.47
01 CRT24,,JY-29-198|006|16,5/5/2017 7:44,Batch,40.7,7.9926,113.3,2.64,4.114,0.66,5.566,1.419,5.797,330.99
01 CRT24,,JY-29-198|006|18,5/5/2017 7:44,Batch,40.7,7.931,106.7,2.75,4.125,0.385,6.16,1.364,5.478,317.79
01 CRT24,,JY-29-198|006|20,5/5/2017 7:44,Batch,40.7,7.9948,108.9,2.53,3.938,0.396,5.786,1.474,5.324,321.42
01 CRT24,,JY-29-198|006|22,5/5/2017 7:44,Batch,40.7,7.9728,113.3,2.75,4.18,0.825,5.566,1.408,5.654,331.21
01 CRT24,,JY-29-198|006|24,5/5/2017 7:44,Batch,40.7,8.0322,112.2,2.64,3.927,0.341,5.797,1.441,5.577,327.8
01 CRT24,,JY-29-198|006|26,5/5/2017 7:44,Batch,40.7,8.1224,102.3,3.96,7.392,0,4.62,1.254,5.401,328.68
01 CRT24,,JY-29-198|006|28,5/5/2017 7:44,Batch,40.7,8.2654,107.8,3.63,7.029,0,4.389,1.243,5.005,335.39
